Postal Code,Score,Amenity Score,Shop Score,Tourism Score,Accessibility Score
6213HS,25.57208979862593,20.753113634276254,17.11398760806568,32.891611727186195,42.62245506093414
6215KD,25.54569878435655,20.058943690246142,17.685868283541737,29.915511883444836,44.51073548403613
6225CJ,25.478060343335507,19.46539232874083,17.772799207643253,27.55230646520891,46.415123962029654
6228GG,25.475376760240263,23.168274874517582,16.146609027809873,30.959649278882274,39.73172429688114
6218RX,25.472887293546975,17.80424929457447,18.414193668074084,28.79343791757168,48.12921406330335
6225GT,25.460166229649886,19.637797683051048,17.681935780085002,27.07316072352292,46.35784078175745
6223AS,25.45762612343993,19.368675464820942,19.661157138612943,30.570625171992845,42.16598084297172
6228GH,25.449762273681436,23.14676999440097,16.162227667729017,31.602071772726706,39.30364007443165
6213KG,25.417499968719046,20.772016853023242,17.044660937906194,33.45108246932038,41.64571707195182
6218TJ,25.3927298727832,17.614558001213155,18.43120433089733,28.621843933142156,48.17315280477437
6228GJ,25.38361835147168,23.084614117357503,16.118159089910506,31.549731490561086,39.19368247758349
6218VX,25.36992581511322,17.512585207767117,18.530885932481024,28.515866982205214,48.16798434353655
